TKT,VER,N1A,N1B,N1C,N2A,N2B,N2C,N3A,N3B,N3C,N4A,N4B,N4C,N5A,N5B,N5C,I1,I2,I3,I4,I5,I6,I7,I8,P,U
264,18349,12,,,,,,40,,,51,,,70,,,base01.ai,free02.ai,,,,,,,1,1
265,8319,5,,,,,,41,,,47,,,68,,,base01.ai,free02.ai,,,,,,,1,1
266,9293,13,,,26,,,32,,,57,,,,,,base01.ai,free05.ai,,,,,,,1,1
267,17057,3,,,,,,38,,,48,,,73,,,base01.ai,free02.ai,,,,,,,1,1
268,13241,9,,,16,,,33,,,59,,,,,,base01.ai,free05.ai,,,,,,,1,1
269,23730,2,,,,,,35,,,48,,,74,,,base01.ai,free02.ai,,,,,,,1,1
270,1846,4,,,24,,,,,,52,,,70,,,base01.ai,free03.ai,,,,,,,1,1
271,26981,11,,,,,,38,,,51,,,69,,,base01.ai,free02.ai,,,,,,,1,1
272,26873,7,,,19,,,35,,,53,,,,,,base01.ai,free05.ai,,,,,,,1,1
273,400,1,,,28,,,39,,,56,,,,,,base01.ai,free05.ai,,,,,,,1,1
274,14434,11,,,,,,40,,,60,,,72,,,base01.ai,free02.ai,,,,,,,1,1
275,5612,15,,,,,,31,,,59,,,61,,,base01.ai,free02.ai,,,,,,,1,1
276,6246,4,,,24,,,,,,52,,,64,,,base01.ai,free03.ai,,,,,,,1,1
277,14412,13,,,,,,33,,,50,,,75,,,base01.ai,free02.ai,,,,,,,1,1
278,18133,13,,,,,,41,,,47,,,67,,,base01.ai,free02.ai,,,,,,,1,1
279,3162,3,,,16,,,,,,52,,,63,,,base01.ai,free03.ai,,,,,,,1,1
280,6905,15,,,23,,,37,,,47,,,,,,base01.ai,free05.ai,,,,,,,1,1
281,10518,8,,,,18,21,31,,,,50,59,61,,,base03.ai,eeyore02.ai,eeyore04.ai,,,,,,1,1
282,11667,1,,,22,,,38,,,,48,54,,67,72,base03.ai,eeyore04.ai,eeyore05.ai,,,,,,1,1
283,3709,15,,,,19,30,41,,,59,,,,64,75,base03.ai,eeyore02.ai,eeyore05.ai,,,,,,1,1
284,13765,,1,3,,24,30,36,,,48,,,70,,,base03.ai,eeyore01.ai,eeyore02.ai,,,,,,1,1
285,13292,,9,10,,20,30,39,,,51,,,74,,,base03.ai,eeyore01.ai,eeyore02.ai,,,,,,1,1
286,3887,7,,,,26,29,37,,,52,,,,68,73,base03.ai,eeyore02.ai,eeyore05.ai,,,,,,1,1
287,20397,,8,15,29,,,31,,,60,,,,69,74,base03.ai,eeyore01.ai,eeyore05.ai,,,,,,1,1
288,16883,6,,,,19,23,33,,,54,,,,61,65,base03.ai,eeyore02.ai,eeyore05.ai,,,,,,1,1
289,232,9,,,29,,,,42,43,49,,,,73,75,base03.ai,eeyore03.ai,eeyore05.ai,,,,,,1,1
290,4229,5,,,,21,27,35,,,48,,,,68,75,base03.ai,eeyore02.ai,eeyore05.ai,,,,,,1,1
291,11245,1,,,,19,29,45,,,,51,56,71,,,base03.ai,eeyore02.ai,eeyore04.ai,,,,,,1,1
292,8840,,4,14,18,,,,38,45,56,,,64,,,base03.ai,eeyore01.ai,eeyore03.ai,,,,,,1,1
293,16470,4,,,,18,21,43,,,55,,,,68,75,base03.ai,eeyore02.ai,eeyore05.ai,,,,,,1,1
294,7235,12,,,30,,,,37,42,51,,,,65,69,base03.ai,eeyore03.ai,eeyore05.ai,,,,,,1,1
295,1556,14,,,30,,,37,,,,47,52,,72,73,base03.ai,eeyore04.ai,eeyore05.ai,,,,,,1,1
296,12557,13,,,,17,27,34,,,47,,,,70,73,base03.ai,eeyore02.ai,eeyore05.ai,,,,,,1,1
297,11116,,1,4,24,,,43,,,52,,,,71,75,base03.ai,eeyore01.ai,eeyore05.ai,,,,,,1,1
298,12982,2,,,,22,29,37,,,60,,,,69,70,base03.ai,eeyore02.ai,eeyore05.ai,,,,,,1,1
299,22013,,3,13,19,,,38,,,55,,,,65,73,base03.ai,eeyore01.ai,eeyore05.ai,,,,,,1,1
300,19003,8,,,16,,,39,,,,46,60,,61,64,base03.ai,eeyore04.ai,eeyore05.ai,,,,,,1,1
301,25181,4,,,,24,28,32,,,55,,,71,,,base03.ai,eeyore02.ai,,,,,,,1,1
302,4946,3,,,,18,22,37,,,60,,,74,,,base03.ai,eeyore02.ai,,,,,,,1,1
303,8145,7,,,22,,,,32,38,59,,,68,,,base03.ai,eeyore03.ai,,,,,,,1,1
304,18389,8,,,18,,,,43,45,49,,,73,,,base03.ai,eeyore03.ai,,,,,,,1,1
305,7484,14,,,,25,27,45,,,52,,,71,,,base03.ai,eeyore02.ai,,,,,,,1,1
306,1005,,10,15,22,,,35,,,59,,,68,,,base03.ai,eeyore01.ai,,,,,,,1,1
307,13604,1,,,24,,,39,,,,47,52,64,,,base03.ai,eeyore04.ai,,,,,,,1,1
308,15184,4,,,,18,29,37,,,52,,,64,,,base03.ai,eeyore02.ai,,,,,,,1,1
309,7213,4,,,28,,,40,,,,55,56,67,,,base03.ai,eeyore04.ai,,,,,,,1,1
310,2944,12,,,18,,,,41,44,59,,,74,,,base03.ai,eeyore03.ai,,,,,,,1,1
311,3285,11,,,29,,,33,,,53,,,,72,74,base03.ai,eeyore05.ai,,,,,,,1,1
312,5339,4,,,,16,21,39,,,54,,,64,,,base03.ai,eeyore02.ai,,,,,,,1,1
313,19383,3,,,22,,,44,,,59,,,,72,74,base03.ai,eeyore05.ai,,,,,,,1,1
314,13983,15,,,17,,,40,,,,53,58,71,,,base03.ai,eeyore04.ai,,,,,,,1,1
315,12502,5,,,30,,,,36,38,49,,,66,,,base03.ai,eeyore03.ai,,,,,,,1,1
316,7158,,8,14,28,,,41,,,50,,,67,,,base03.ai,eeyore01.ai,,,,,,,1,1
317,17500,,1,5,18,,,32,,,49,,,70,,,base03.ai,eeyore01.ai,,,,,,,1,1
318,23748,7,,,,17,18,40,,,51,,,74,,,base03.ai,eeyore02.ai,,,,,,,1,1
319,1239,1,,,,19,21,40,,,52,,,63,,,base03.ai,eeyore02.ai,,,,,,,1,1
320,8422,11,,,22,,,43,,,50,,,,63,70,base03.ai,eeyore05.ai,,,,,,,1,1
321,17683,2,,,24,,,45,,,56,,,,66,75,base03.ai,eeyore05.ai,,,,,,,1,1
322,4681,,9,15,26,,,41,,,55,,,66,,,base03.ai,eeyore01.ai,,,,,,,1,1
323,3,,3,11,17,,,43,,,55,,,66,,,base03.ai,eeyore01.ai,,,,,,,1,1
324,6387,,4,11,30,,,34,,,57,,,73,,,base03.ai,eeyore01.ai,,,,,,,1,1
325,968,11,,,28,,,,40,43,55,,,75,,,base03.ai,eeyore03.ai,,,,,,,1,1
326,10376,,5,13,28,,,39,,,55,,,75,,,base03.ai,eeyore01.ai,,,,,,,1,1
327,4961,3,,,22,,,40,,,,51,52,73,,,base03.ai,eeyore04.ai,,,,,,,1,1
328,589,,1,3,20,,,37,,,54,,,63,,,base03.ai,eeyore01.ai,,,,,,,1,1
329,6717,14,,,,23,27,44,,,55,,,63,,,base03.ai,eeyore02.ai,,,,,,,1,1
330,22437,15,,,,21,22,32,,,60,,,73,,,base03.ai,eeyore02.ai,,,,,,,1,1
331,4966,,2,8,23,,,32,,,57,,,67,,,base03.ai,eeyore01.ai,,,,,,,1,1
332,3590,9,,,20,,,38,,,,51,54,67,,,base03.ai,eeyore04.ai,,,,,,,1,1
333,21828,8,,,29,,,31,,,54,,,,67,71,base03.ai,eeyore05.ai,,,,,,,1,1
334,585,1,,,,20,30,42,,,58,,,74,,,base03.ai,eeyore02.ai,,,,,,,1,1
335,20206,4,,,,18,26,37,,,48,,,62,,,base03.ai,eeyore02.ai,,,,,,,1,1
336,21997,9,,,23,,,,33,41,48,,,66,,,base03.ai,eeyore03.ai,,,,,,,1,1
337,16373,7,,,21,,,40,,,59,,,,65,71,base03.ai,eeyore05.ai,,,,,,,1,1
338,12356,6,,,23,,,,39,44,54,,,61,,,base03.ai,eeyore03.ai,,,,,,,1,1
339,23451,1,,,16,,,31,,,55,,,,66,75,base03.ai,eeyore05.ai,,,,,,,1,1
340,6483,5,,,29,,,42,,,,51,55,67,,,base03.ai,eeyore04.ai,,,,,,,1,1
341,12742,3,,,17,,,,31,40,55,,,69,,,base03.ai,eeyore03.ai,,,,,,,1,1
342,22026,4,,,25,,,34,,,58,,,,61,73,base03.ai,eeyore05.ai,,,,,,,1,1
343,50,5,,,29,,,,35,37,48,,,74,,,base03.ai,eeyore03.ai,,,,,,,1,1
344,2600,15,,,,16,20,42,,,54,,,67,,,base03.ai,eeyore02.ai,,,,,,,1,1
345,1479,,2,5,24,,,32,,,49,,,68,,,base03.ai,eeyore01.ai,,,,,,,1,1
346,1680,2,,,26,,,,35,41,49,,,67,,,base03.ai,eeyore03.ai,,,,,,,1,1
347,19512,7,,,20,,,,40,42,51,,,64,,,base03.ai,eeyore03.ai,,,,,,,1,1
348,22174,8,,,24,,,41,,,,55,56,62,,,base03.ai,eeyore04.ai,,,,,,,1,1
349,8031,11,,,,29,30,40,,,56,,,62,,,base03.ai,eeyore02.ai,,,,,,,1,1
350,11841,12,,,,17,26,34,,,56,,,68,,,base03.ai,eeyore02.ai,,,,,,,1,1
351,13116,7,,,20,,,36,,,57,,,62,,,base01.ai,,,,,,,,1,1
352,25558,4,,,30,,,42,,,52,,,66,,,base01.ai,,,,,,,,1,1
353,22928,9,,,23,,,32,,,52,,,63,,,base01.ai,,,,,,,,1,1
354,18302,15,,,19,,,34,,,48,,,63,,,base01.ai,,,,,,,,1,1
355,22935,8,,,19,,,32,,,47,,,71,,,base01.ai,,,,,,,,1,1
356,12445,14,,,24,,,31,,,50,,,74,,,base01.ai,,,,,,,,1,1
357,9560,4,,,27,,,40,,,49,,,65,,,base01.ai,,,,,,,,1,1
358,10439,7,,,22,,,41,,,50,,,68,,,base01.ai,,,,,,,,1,1
359,21010,8,,,20,,,38,,,55,,,63,,,base01.ai,,,,,,,,1,1
360,25808,7,,,25,,,43,,,52,,,67,,,base01.ai,,,,,,,,1,1
361,25872,14,,,21,,,33,,,47,,,64,,,base01.ai,,,,,,,,1,1
362,26983,9,,,30,,,41,,,52,,,66,,,base01.ai,,,,,,,,1,1
363,5650,4,,,18,,,45,,,56,,,69,,,base01.ai,,,,,,,,1,1
364,15051,8,,,27,,,41,,,47,,,66,,,base01.ai,,,,,,,,1,1
365,7433,14,,,20,,,32,,,53,,,73,,,base01.ai,,,,,,,,1,1
366,15507,15,,,18,,,35,,,53,,,68,,,base01.ai,,,,,,,,1,1
367,18011,10,,,28,,,39,,,51,,,71,,,base01.ai,,,,,,,,1,1
368,12404,6,,,23,,,34,,,60,,,73,,,base01.ai,,,,,,,,1,1
369,21590,14,,,29,,,44,,,56,,,71,,,base01.ai,,,,,,,,1,1
370,25611,3,,,16,,,34,,,53,,,62,,,base01.ai,,,,,,,,1,1
371,4629,7,,,25,,,35,,,50,,,65,,,base01.ai,,,,,,,,1,1
372,4332,4,,,26,,,37,,,52,,,73,,,base01.ai,,,,,,,,1,1
373,16359,10,,,16,,,39,,,50,,,61,,,base01.ai,,,,,,,,1,1
374,1715,14,,,16,,,40,,,55,,,72,,,base01.ai,,,,,,,,1,1
375,14895,15,,,20,,,39,,,53,,,67,,,base01.ai,,,,,,,,1,1
376,364,3,,,28,,,42,,,54,,,69,,,base01.ai,,,,,,,,1,1
377,10555,13,,,30,,,39,,,51,,,64,,,base01.ai,,,,,,,,1,1
378,10488,7,,,20,,,32,,,60,,,68,,,base01.ai,,,,,,,,1,1
379,20276,2,,,16,,,40,,,57,,,66,,,base01.ai,,,,,,,,1,1
380,11333,15,,,21,,,40,,,50,,,68,,,base01.ai,,,,,,,,1,1
381,15085,12,,,17,,,42,,,56,,,64,,,base01.ai,,,,,,,,1,1
382,17240,6,,,30,,,44,,,54,,,63,,,base01.ai,,,,,,,,1,1
383,21928,3,,,26,,,39,,,55,,,61,,,base01.ai,,,,,,,,1,1
384,9881,1,,,21,,,31,,,56,,,61,,,base01.ai,,,,,,,,1,1
385,22920,4,,,17,,,39,,,47,,,68,,,base01.ai,,,,,,,,1,1
386,869,4,,,27,,,38,,,55,,,69,,,base01.ai,,,,,,,,1,1
387,7339,8,,,28,,,32,,,47,,,66,,,base01.ai,,,,,,,,1,1
388,3437,13,,,29,,,32,,,47,,,62,,,base01.ai,,,,,,,,1,1
389,8115,7,,,29,,,31,,,58,,,74,,,base01.ai,,,,,,,,1,1
390,21434,11,,,20,,,41,,,55,,,65,,,base01.ai,,,,,,,,1,1
391,10531,6,,,28,,,42,,,58,,,69,,,base01.ai,,,,,,,,1,1
392,22850,12,,,27,,,42,,,56,,,63,,,base01.ai,,,,,,,,1,1
393,15506,10,,,19,,,31,,,60,,,64,,,base01.ai,,,,,,,,1,1
394,9192,9,,,20,,,38,,,47,,,73,,,base01.ai,,,,,,,,1,1
395,25915,4,,,20,,,36,,,50,,,65,,,base01.ai,,,,,,,,1,1
396,24012,5,,,19,,,40,,,47,,,69,,,base01.ai,,,,,,,,1,1
397,4503,13,,,23,,,43,,,55,,,70,,,base01.ai,,,,,,,,1,1
398,2044,12,,,28,,,32,,,56,,,75,,,base01.ai,,,,,,,,1,1
399,13540,7,,,23,,,42,,,48,,,61,,,base01.ai,,,,,,,,1,1
400,7978,6,,,16,,,39,,,56,,,70,,,base01.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner01.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner02.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner03.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner03.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,winner04.ai,,,,,,,,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner06.ai,nonwinner09.ai,nonwinner05.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner04.ai,nonwinner02.ai,nonwinner09.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner09.ai,nonwinner08.ai,nonwinner03.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner02.ai,nonwinner03.ai,nonwinner07.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner07.ai,nonwinner06.ai,nonwinner03.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner07.ai,nonwinner09.ai,nonwinner05.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner09.ai,nonwinner03.ai,nonwinner02.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner01.ai,nonwinner04.ai,nonwinner09.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner02.ai,nonwinner06.ai,nonwinner07.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner02.ai,nonwinner04.ai,nonwinner05.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner02.ai,nonwinner05.ai,nonwinner01.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner03.ai,nonwinner02.ai,nonwinner04.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner07.ai,nonwinner08.ai,nonwinner06.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner09.ai,nonwinner01.ai,nonwinner02.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner06.ai,nonwinner01.ai,nonwinner02.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner01.ai,nonwinner08.ai,nonwinner07.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner08.ai,nonwinner05.ai,nonwinner01.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner01.ai,nonwinner07.ai,nonwinner09.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner04.ai,nonwinner06.ai,nonwinner03.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner05.ai,nonwinner09.ai,nonwinner06.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner02.ai,nonwinner07.ai,nonwinner01.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner02.ai,nonwinner05.ai,nonwinner06.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner03.ai,nonwinner08.ai,nonwinner05.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner04.ai,nonwinner09.ai,nonwinner07.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner08.ai,nonwinner03.ai,nonwinner01.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner06.ai,nonwinner04.ai,nonwinner03.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner05.ai,nonwinner01.ai,nonwinner08.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner05.ai,nonwinner01.ai,nonwinner03.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner07.ai,nonwinner06.ai,nonwinner02.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner08.ai,nonwinner09.ai,nonwinner04.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner09.ai,nonwinner08.ai,nonwinner02.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner06.ai,nonwinner07.ai,nonwinner04.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner02.ai,nonwinner05.ai,nonwinner03.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner07.ai,nonwinner04.ai,nonwinner02.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner02.ai,nonwinner08.ai,nonwinner07.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner02.ai,nonwinner08.ai,nonwinner01.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner05.ai,nonwinner07.ai,nonwinner03.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner01.ai,nonwinner02.ai,nonwinner06.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner02.ai,nonwinner06.ai,nonwinner04.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner06.ai,nonwinner08.ai,nonwinner03.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner09.ai,nonwinner04.ai,nonwinner01.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner02.ai,nonwinner05.ai,nonwinner04.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner09.ai,nonwinner06.ai,nonwinner08.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner05.ai,nonwinner06.ai,nonwinner08.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner07.ai,nonwinner05.ai,nonwinner09.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner04.ai,nonwinner05.ai,nonwinner07.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner04.ai,nonwinner08.ai,nonwinner03.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner07.ai,nonwinner03.ai,nonwinner09.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner02.ai,nonwinner09.ai,nonwinner08.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner07.ai,nonwinner03.ai,nonwinner05.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner07.ai,nonwinner06.ai,nonwinner09.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner06.ai,nonwinner08.ai,nonwinner09.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner06.ai,nonwinner02.ai,nonwinner01.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner06.ai,nonwinner02.ai,nonwinner07.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner06.ai,nonwinner05.ai,nonwinner03.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner02.ai,nonwinner08.ai,nonwinner05.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner01.ai,nonwinner02.ai,nonwinner03.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner01.ai,nonwinner05.ai,nonwinner09.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner05.ai,nonwinner02.ai,nonwinner08.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner05.ai,nonwinner04.ai,nonwinner09.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner09.ai,nonwinner03.ai,nonwinner01.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner01.ai,nonwinner07.ai,nonwinner05.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner01.ai,nonwinner05.ai,nonwinner02.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner09.ai,nonwinner05.ai,nonwinner08.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner06.ai,nonwinner05.ai,nonwinner04.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner05.ai,nonwinner01.ai,nonwinner06.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner02.ai,nonwinner01.ai,nonwinner09.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner09.ai,nonwinner08.ai,nonwinner05.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner03.ai,nonwinner01.ai,nonwinner07.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner09.ai,nonwinner01.ai,nonwinner05.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner04.ai,nonwinner02.ai,nonwinner07.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner02.ai,nonwinner09.ai,nonwinner06.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner07.ai,nonwinner03.ai,nonwinner01.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner05.ai,nonwinner04.ai,nonwinner08.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner01.ai,nonwinner08.ai,nonwinner06.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner09.ai,nonwinner04.ai,nonwinner07.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner07.ai,nonwinner05.ai,nonwinner02.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner04.ai,nonwinner02.ai,nonwinner05.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner08.ai,nonwinner05.ai,nonwinner03.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner08.ai,nonwinner04.ai,nonwinner07.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner01.ai,nonwinner05.ai,nonwinner04.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner06.ai,nonwinner04.ai,nonwinner09.ai,1,1
,,,,,,,,,,,,,,,,,,,,,,nonwinner03.ai,nonwinner08.ai,nonwinner02.ai,1,1
